"No.","Time","Source","Destination","Protocol","Length","Info"
"339","5.323402","192.168.0.12","192.168.0.1","TCP","391","52229  >  5431 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=337 [TCP segment of a reassembled PDU]"
"342","5.329864","192.168.0.12","192.168.0.1","TCP","54","52229  >  5431 [FIN, ACK] Seq=651 Ack=518 Win=65024 Len=0"
"343","5.330057","192.168.0.1","192.168.0.12","TCP","54","5431  >  52229 [FIN, ACK] Seq=518 Ack=651 Win=8192 Len=0"
"344","5.330178","192.168.0.12","192.168.0.1","TCP","54","52229  >  5431 [ACK] Seq=652 Ack=519 Win=65024 Len=0"
"345","5.333363","192.168.0.1","192.168.0.12","TCP","54","5431  >  52229 [ACK] Seq=519 Ack=652 Win=8192 Len=0"
"346","5.334432","192.168.0.12","192.168.0.1","TCP","66","52230  >  5431 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"347","5.337381","192.168.0.1","192.168.0.12","TCP","62","5431  >  52230 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=1"
"348","5.337575","192.168.0.12","192.168.0.1","TCP","54","52230  >  5431 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"349","5.337790","192.168.0.12","192.168.0.1","TCP","387","52230  >  5431 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=333 [TCP segment of a reassembled PDU]"
"352","5.344396","192.168.0.12","192.168.0.1","TCP","54","52230  >  5431 [FIN, ACK] Seq=643 Ack=502 Win=65024 Len=0"
"353","5.344527","192.168.0.1","192.168.0.12","TCP","54","5431  >  52230 [FIN, ACK] Seq=502 Ack=643 Win=8192 Len=0"
"354","5.344605","192.168.0.12","192.168.0.1","TCP","54","52230  >  5431 [ACK] Seq=644 Ack=503 Win=65024 Len=0"
"355","5.347434","192.168.0.1","192.168.0.12","TCP","54","5431  >  52230 [ACK] Seq=503 Ack=644 Win=8192 Len=0"
"356","5.348103","192.168.0.12","192.168.0.1","TCP","66","52231  >  5431 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"357","5.350804","192.168.0.1","192.168.0.12","TCP","62","5431  >  52231 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=1"
"358","5.350977","192.168.0.12","192.168.0.1","TCP","54","52231  >  5431 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"359","5.351184","192.168.0.12","192.168.0.1","TCP","391","52231  >  5431 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=337 [TCP segment of a reassembled PDU]"
"362","5.357104","192.168.0.12","192.168.0.1","TCP","54","52231  >  5431 [FIN, ACK] Seq=651 Ack=518 Win=65024 Len=0"
"363","5.357408","192.168.0.1","192.168.0.12","TCP","54","5431  >  52231 [FIN, ACK] Seq=518 Ack=651 Win=8192 Len=0"
"364","5.357518","192.168.0.12","192.168.0.1","TCP","54","52231  >  5431 [ACK] Seq=652 Ack=519 Win=65024 Len=0"
"365","5.360864","192.168.0.1","192.168.0.12","TCP","54","5431  >  52231 [ACK] Seq=519 Ack=652 Win=8192 Len=0"
"366","5.361354","192.168.0.12","192.168.0.1","TCP","66","52232  >  5431 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"367","5.366078","192.168.0.1","192.168.0.12","TCP","62","5431  >  52232 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=1"
"368","5.366272","192.168.0.12","192.168.0.1","TCP","54","52232  >  5431 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"369","5.366498","192.168.0.12","192.168.0.1","TCP","387","52232  >  5431 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=333 [TCP segment of a reassembled PDU]"
"372","5.375799","192.168.0.1","192.168.0.12","TCP","54","5431  >  52232 [FIN, ACK] Seq=502 Ack=643 Win=8192 Len=0"
"373","5.376002","192.168.0.12","192.168.0.1","TCP","54","52232  >  5431 [ACK] Seq=643 Ack=503 Win=65024 Len=0"
"374","5.376092","192.168.0.12","192.168.0.1","TCP","54","52232  >  5431 [FIN, ACK] Seq=643 Ack=503 Win=65024 Len=0"
"375","5.380507","192.168.0.1","192.168.0.12","TCP","54","5431  >  52232 [ACK] Seq=503 Ack=644 Win=8192 Len=0"
"376","5.380532","192.168.0.12","192.168.0.1","TCP","66","52233  >  5431 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"377","5.383693","192.168.0.1","192.168.0.12","TCP","62","5431  >  52233 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=1"
"378","5.383912","192.168.0.12","192.168.0.1","TCP","54","52233  >  5431 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"379","5.384159","192.168.0.12","192.168.0.1","TCP","391","52233  >  5431 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=337 [TCP segment of a reassembled PDU]"
"382","5.390407","192.168.0.12","192.168.0.1","TCP","54","52233  >  5431 [FIN, ACK] Seq=651 Ack=518 Win=65024 Len=0"
"383","5.390648","192.168.0.1","192.168.0.12","TCP","54","5431  >  52233 [FIN, ACK] Seq=518 Ack=651 Win=8192 Len=0"
"384","5.390791","192.168.0.12","192.168.0.1","TCP","54","52233  >  5431 [ACK] Seq=652 Ack=519 Win=65024 Len=0"
"385","5.393886","192.168.0.1","192.168.0.12","TCP","54","5431  >  52233 [ACK] Seq=519 Ack=652 Win=8192 Len=0"
"386","6.364167","192.168.0.12","192.168.0.1","TCP","66","52234  >  5431 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"387","6.371170","192.168.0.1","192.168.0.12","TCP","62","5431  >  52234 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=1"
"388","6.371376","192.168.0.12","192.168.0.1","TCP","54","52234  >  5431 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"389","6.371651","192.168.0.12","192.168.0.1","TCP","387","52234  >  5431 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=333 [TCP segment of a reassembled PDU]"
"392","6.379376","192.168.0.12","192.168.0.1","TCP","54","52234  >  5431 [FIN, ACK] Seq=643 Ack=502 Win=65024 Len=0"
"393","6.383196","192.168.0.1","192.168.0.12","TCP","54","5431  >  52234 [FIN, ACK] Seq=502 Ack=643 Win=8192 Len=0"
"394","6.383439","192.168.0.12","192.168.0.1","TCP","54","52234  >  5431 [ACK] Seq=644 Ack=503 Win=65024 Len=0"
"395","6.383919","192.168.0.12","192.168.0.1","TCP","66","52235  >  5431 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"396","6.385253","192.168.0.1","192.168.0.12","TCP","54","5431  >  52234 [ACK] Seq=503 Ack=644 Win=8192 Len=0"
"397","6.388418","192.168.0.1","192.168.0.12","TCP","62","5431  >  52235 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=1"
"398","6.388634","192.168.0.12","192.168.0.1","TCP","54","52235  >  5431 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"399","6.388889","192.168.0.12","192.168.0.1","TCP","391","52235  >  5431 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=337 [TCP segment of a reassembled PDU]"
"402","6.397379","192.168.0.12","192.168.0.1","TCP","54","52235  >  5431 [FIN, ACK] Seq=651 Ack=518 Win=65024 Len=0"
"403","6.397526","192.168.0.1","192.168.0.12","TCP","54","5431  >  52235 [FIN, ACK] Seq=518 Ack=651 Win=8192 Len=0"
